AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,febrero,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,escaladaalosnevadosdeIshinca,0,extranjero,65
2017,febrero,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,escaladaalosnevadosdeIshinca,548,nacional,30
2017,febrero,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,escaladaalosnevadosdeIshinca,2,extranjero,65
2017,febrero,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,78,nacional,30
2017,febrero,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,255,extranjero,65
2017,febrero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,1,nacional,30
2017,febrero,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,6,extranjero,65
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,11,nacional,30
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Quillcayhuanca,Quillcayhuanca,Turismo,0,extranjero,65
2017,febrero,convencional,Conboleto ,Independencia,Huaraz,Llaca,lagunaLlaca,TrekingQuillcayhuanca Cojup,15,nacional,30
2017,febrero,convencional,Conboleto ,Independencia,Huaraz,Llaca,lagunaLlaca,TrekingQuillcayhuanca Cojup,2,extranjero,65
2017,febrero,convencional,exonerado,Independencia,Huaraz,Llaca,lagunaLlaca,TrekingQuillcayhuanca Cojup,0,nacional,30
2017,febrero,convencional,exonerado,Independencia,Huaraz,Llaca,lagunaLlaca,TrekingQuillcayhuanca Cojup,0,extranjero,65
2017,febrero,Aventura,Conboleto ,Independencia,Huaraz,Llaca,Llaca,Turismo,0,nacional,30
2017,febrero,Aventura,Conboleto ,Independencia,Huaraz,Llaca,Llaca,Turismo,0,extranjero,65
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,Turismo,0,nacional,30
2017,febrero,Aventura,exonerado,Independencia,Huaraz,Llaca,Llaca,Turismo,0,extranjero,65
2017,febrero,convencional,Conboleto ,Shilla,Carhuaz,Ulta,Puntaolimpica,escaladadelnevadoOcshapalcayalnevadoVallunaraju,252,nacional,30
2017,febrero,convencional,Conboleto ,Shilla,Carhuaz,Ulta,Puntaolimpica,escaladadelnevadoOcshapalcayalnevadoVallunaraju,21,extranjero,65
2017,febrero,convencional,exonerado,Shilla,Carhuaz,Ulta,Puntaolimpica,escaladadelnevadoOcshapalcayalnevadoVallunaraju,10,nacional,30
